Station,Lat,Lon,UTM_X,UTM_Y,Elev,File
492R,-20.045083333333334,140.69147222222222,467735.4596621817,7783499.982159426,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\492R.edi
493R,-20.049650000000003,140.71349999999998,470039.913826935,7782998.727219412,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\493R.edi
494,-20.05045,140.73246666666668,472023.4630923785,7782913.485601085,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\494.edi
495,-20.049883333333334,140.75168333333335,474032.9082052434,7782979.295240858,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\495.edi
501,-20.03111111111111,140.42652777777778,440022.830357258,7784973.1159024965,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\501.edi
501QC_R,-20.03115,140.42641666666665,440011.2241485619,7784968.772430226,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\501QC_R.edi
502,-20.031027777777776,140.44538888888889,441995.45635595097,7784988.989951801,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\502.edi
503,-20.030277777777776,140.46538888888887,444086.9582352912,7785078.798665933,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\503.edi
504R,-20.030666666666665,140.4838611111111,446019.07490576553,7785041.830708481,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\504R.edi
505,-20.031222222222222,140.50280555555557,448000.62122484413,7784986.352503055,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\505.edi
506,-20.032638888888886,140.52211111111112,450020.189046988,7784835.464620931,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\506.edi
507,-20.031,140.54280555555556,452184.04938214784,7785022.879338222,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\507.edi
508,-20.03186111111111,140.56047222222224,454032.0070287743,7784932.539003607,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\508.edi
509,-20.031388888888888,140.57938888888887,456010.30235904595,7784989.883355479,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\509.edi
510,-20.031944444444445,140.59761111111112,457916.2497265178,7784933.092717485,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\510.edi
511,-20.031277777777778,140.61758333333333,460004.89589274855,7785011.7679971475,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\511.edi
512,-20.03136111111111,140.6363888888889,461971.7186440815,7785006.932187466,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\512.edi
513,-20.031555555555556,140.65605555555555,464028.6215254702,7784989.764919023,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\513.edi
514,-20.031444444444443,140.67469444444444,465977.95963297103,7785005.960464722,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\514.edi
515,-20.031366388888888,140.69448861111113,468048.1298812441,7785018.501865169,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\515.edi
516,-20.031549444444444,140.71325694444442,470011.0614262796,7785001.71972204,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\516.edi
517,-20.03158388888889,140.73335277777775,472112.79648542416,7785001.384754103,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\517.edi
518,-20.031600833333332,140.7514647222222,474007.03993417096,7785002.426789457,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\edis\Renamed impedance\518.edi
