Station,Lat,Lon,UTM_X,UTM_Y,Elev,File
547,-19.994416666666663,140.4263611111111,439991.48476288986,7789033.826347705,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\547.edi
548,-19.994694444444445,140.44558333333333,442002.4774578629,7789009.855233622,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\548.edi
549,-19.994805555555555,140.46488888888888,444022.116834362,7789004.125341495,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\549.edi
550,-19.994694444444445,140.4837222222222,445992.2726586832,7789022.602514926,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\550.edi
551,-19.994972222222223,140.50258333333332,447965.4603863263,7788997.831114605,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\551.edi
552,-19.995083333333334,140.52191666666667,449987.98394139146,7788991.42256435,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\552.edi
553,-19.995083333333334,140.54108333333332,451993.0314245399,7788997.028792184,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\553.edi
554,-19.99511111111111,140.56025000000002,453998.082830945,7788999.33168719,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\554.edi
555R,-19.99511111111111,140.57930555555555,455991.4984435479,7789004.449992853,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\555R.edi
556,-19.995361111111112,140.59869444444445,458019.8467067884,7788981.759618659,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\556.edi
557R,-19.995972222222225,140.61494444444443,459719.9177357149,7788918.121865705,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\557R.edi
558,-19.994972222222223,140.6448611111111,462849.2528877556,7789035.696220064,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\558.edi
559,-19.9955,140.65597222222223,464011.70669745066,7788979.716545261,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\559.edi
560,-19.99527777777778,140.67566666666664,466071.8865146842,7789008.416953993,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\560.edi
